All Industries_Other_All ages,last_val,diff
94.2,0.0,inf
96.6,94.2,2.5477707006369332
97.7,96.6,1.1387163561076694
98.0,97.7,0.30706243602865624
98.0,98.0,0.0
99.0,98.0,1.0204081632653061
99.7,99.0,0.70707070707071
99.4,99.7,-0.30090270812437026
99.1,99.4,-0.3018108651911583
99.7,99.1,0.6054490413723598
100.0,99.7,0.30090270812437026
99.4,100.0,-0.5999999999999943
96.6,99.4,-2.8169014084507156
94.0,96.6,-2.691511387163555
92.3,94.0,-1.8085106382978753
91.8,92.3,-0.5417118093174431
91.8,91.8,0.0
92.5,91.8,0.7625272331154715
93.2,92.5,0.7567567567567599
93.8,93.2,0.6437768240343286
94.3,93.8,0.5330490405117271
94.6,94.3,0.3181336161187669
95.6,94.6,1.0570824524312896
96.5,95.6,0.9414225941422654
96.8,96.5,0.3108808290155411
96.7,96.8,-0.10330578512396107
97.9,96.7,1.2409513960703233
98.4,97.9,0.5107252298263534
98.1,98.4,-0.30487804878049934
98.3,98.1,0.20387359836901414
98.7,98.3,0.4069175991861706
98.7,98.7,0.0
98.9,98.7,0.20263424518743955
98.9,98.9,0.0
99.1,98.9,0.20222446916075693
99.1,99.1,0.0
