Qld Active,Week ending,diff,percentage
16.142857142857142,2020-03-14,8.857142857142858,54.86725663716815
113.42857142857143,2020-03-21,97.28571428571429,85.76826196473552
433.14285714285717,2020-03-28,319.7142857142857,73.81266490765171
771.5714285714286,2020-04-04,338.4285714285714,43.86224773190149
707.4285714285714,2020-04-11,-64.14285714285711,-9.067043618739898
529.1428571428571,2020-04-18,-178.28571428571433,-33.69330453563716
270.14285714285717,2020-04-25,-258.99999999999994,-95.87519830777363
81.71428571428571,2020-05-02,-188.42857142857144,-230.59440559440563
42.285714285714285,2020-05-09,-39.42857142857142,-93.24324324324323
15.857142857142858,2020-05-16,-26.428571428571427,-166.66666666666666
12.571428571428571,2020-05-23,-3.2857142857142865,-26.13636363636364
7.714285714285714,2020-05-30,-4.857142857142857,-62.962962962962955
5.714285714285714,2020-06-06,-2.0,-35.0
6.428571428571429,2020-06-13,0.7142857142857144,11.111111111111112
7.571428571428571,2020-06-20,1.1428571428571423,15.094339622641503
6.857142857142857,2020-06-27,-0.7142857142857144,-10.416666666666668
6.714285714285714,2020-07-04,-0.14285714285714235,-2.1276595744680775
5.857142857142857,2020-07-11,-0.8571428571428577,-14.634146341463424
6.571428571428571,2020-07-18,0.7142857142857144,10.869565217391306
5.857142857142857,2020-07-25,-0.7142857142857144,-12.195121951219514
10.0,2020-08-01,4.142857142857143,41.42857142857143
12.0,2020-08-08,2.0,16.666666666666664
7.714285714285714,2020-08-15,-4.285714285714286,-55.55555555555556
9.0,2020-08-22,1.2857142857142856,14.285714285714285
22.285714285714285,2020-08-29,13.285714285714285,59.61538461538461
34.57142857142857,2020-09-05,12.285714285714285,35.53719008264463
