Vic Active,Week ending,diff,percentage
17.142857142857142,2020-03-14,13.0,75.83333333333333
108.28571428571429,2020-03-21,91.14285714285715,84.16886543535621
358.85714285714283,2020-03-28,250.57142857142856,69.82484076433121
604.8571428571429,2020-04-04,246.00000000000006,40.67076051015589
475.57142857142856,2020-04-11,-129.28571428571433,-27.185340943226205
200.71428571428572,2020-04-18,-274.85714285714283,-136.9395017793594
95.85714285714286,2020-04-25,-104.85714285714286,-109.38897168405366
56.0,2020-05-02,-39.85714285714286,-71.1734693877551
110.71428571428571,2020-05-09,54.71428571428571,49.41935483870967
121.14285714285714,2020-05-16,10.42857142857143,8.608490566037737
96.71428571428571,2020-05-23,-24.42857142857143,-25.258493353028065
67.42857142857143,2020-05-30,-29.285714285714278,-43.43220338983049
78.85714285714286,2020-06-06,11.42857142857143,14.492753623188406
57.42857142857143,2020-06-13,-21.42857142857143,-37.3134328358209
83.28571428571429,2020-06-20,25.85714285714286,31.04631217838765
168.85714285714286,2020-06-27,85.57142857142857,50.676818950930624
408.2857142857143,2020-07-04,239.42857142857142,58.64240727781665
1026.5714285714287,2020-07-11,618.2857142857144,60.22822154188702
2199.285714285714,2020-07-18,1172.7142857142856,53.32250730756739
3792.1428571428573,2020-07-25,1592.8571428571431,42.00414390657375
5746.714285714285,2020-08-01,1954.571428571428,34.011982002137856
7626.428571428572,2020-08-08,1879.7142857142862,24.647372857544262
8344.285714285714,2020-08-15,717.8571428571422,8.602978941961986
6519.428571428572,2020-08-22,-1824.8571428571422,-27.991059689718632
3616.714285714286,2020-08-29,-2902.714285714286,-80.2583244460244
2493.4285714285716,2020-09-05,-1123.2857142857142,-45.04984530766586
