WA Active,Week ending,diff,percentage
7.857142857142857,2020-03-14,6.428571428571428,81.81818181818181
44.285714285714285,2020-03-21,36.42857142857143,82.25806451612904
187.0,2020-03-28,142.71428571428572,76.31779984721162
319.7142857142857,2020-04-04,132.71428571428572,41.51027703306524
309.57142857142856,2020-04-11,-10.142857142857167,-3.2764190124596295
243.71428571428572,2020-04-18,-65.85714285714283,-27.022274325908548
100.71428571428571,2020-04-25,-143.0,-141.9858156028369
40.57142857142857,2020-05-02,-60.14285714285714,-148.2394366197183
12.285714285714286,2020-05-09,-28.285714285714285,-230.23255813953486
5.714285714285714,2020-05-16,-6.571428571428572,-115.00000000000001
2.7142857142857144,2020-05-23,-3.0,-110.52631578947367
14.285714285714286,2020-05-30,11.571428571428573,81.0
28.571428571428573,2020-06-06,14.285714285714286,50.0
22.714285714285715,2020-06-13,-5.857142857142858,-25.78616352201258
2.142857142857143,2020-06-20,-20.571428571428573,-960.0000000000001
4.0,2020-06-27,1.8571428571428572,46.42857142857143
4.0,2020-07-04,0.0,0.0
15.142857142857142,2020-07-11,11.142857142857142,73.58490566037736
23.571428571428573,2020-07-18,8.42857142857143,35.757575757575765
13.428571428571429,2020-07-25,-10.142857142857144,-75.53191489361703
4.0,2020-08-01,-9.428571428571429,-235.71428571428572
5.857142857142857,2020-08-08,1.8571428571428568,31.707317073170728
3.4285714285714284,2020-08-15,-2.4285714285714284,-70.83333333333334
7.142857142857143,2020-08-22,3.714285714285715,52.0
8.0,2020-08-29,0.8571428571428568,10.71428571428571
3.857142857142857,2020-09-05,-4.142857142857142,-107.40740740740739
